Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
mtInv+R5         -28915.971   58053.941 -        0   58146.030 -        0   58491.883 -        0
mtInv+I+R5       -28913.960   58051.921 -        0   58146.017 -        0   58493.808 -        0
mtInv+I+R6       -28913.212   58054.425 -        0   58152.627 -        0   58504.203 -        0
mtInv+R6         -28916.729   58059.458 -        0   58155.592 -        0   58505.291 -        0
mtInv+I+R4       -28930.134   58080.268 -        0   58170.378 -        0   58514.264 -        0
mtMet+R5         -28945.880   58113.761 -        0   58205.850 -        0   58551.702 -        0
mtMet+I+R5       -28943.942   58111.884 -        0   58205.981 -        0   58553.771 -        0
mtMet+R6         -28945.837   58117.675 -        0   58213.809 -        0   58563.507 -        0
mtMet+I+R6       -28943.785   58115.569 -        0   58213.771 -        0   58565.347 -        0
mtMet+I+R4       -28973.756   58167.511 -        0   58257.622 -        0   58601.508 -        0
HIVw+R5          -29120.664   58463.327 -        0   58555.416 -        0   58901.269 -        0
HIVw+I+R5        -29117.946   58459.891 -        0   58553.988 -        0   58901.778 -        0
HIVw+R6          -29117.666   58461.332 -        0   58557.466 -        0   58907.165 -        0
